Ticker,Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM)
HOG,31.59881898,10.68975299,10.3960637,7.90100095
CAKE,12.13183109,5.55070867,5.65249334,5.12721675
UBS,,16.90192185,16.27463266,12.66203059
VIV,44.77679915,14.19859055,14.43769897,11.31555344
CNP,12.78251511,8.82523388,7.69103403,6.54855534
SM,11.28801574,2.82581078,-14.53799073,-11.7666713
LTC,67.99572943,39.8474635,45.92677566,45.50823731
TEF,39.61894326,11.8868158,6.0486115,1.95701954
WBS,,34.02662468,34.02662468,26.64600472
CIT,,19.03445276,19.38239771,16.4466122
SLG,42.68304415,26.34279711,22.25489133,21.33571951
SELF,42.25135476,6.81314819,7.62751044,7.62751044
QIWI,55.68414995,36.47668376,15.51159002,12.25102101
CHNGU,,,,
VHI,22.89975756,7.44176241,5.52334774,2.58775166
AY,53.65692094,40.20704888,10.43628368,6.14314866
CMP,22.61657162,10.99630996,5.67594767,4.11942301
MOV,55.1777119,6.13310774,8.2033936,6.09145094
UNM,,13.40819792,11.50522776,9.15939664
CM,,21.59202239,22.54373688,17.92512246
FLXS,16.30445782,-1.54705743,-9.81770695,-7.54157371
PANL,12.12350714,7.90740501,4.13608884,2.82824349
VNO,75.2463418,64.48243229,64.60117772,59.15018187
EQNR,17.75082353,16.65463737,15.04456196,3.06717547
SNV,,35.12811396,31.9617486,23.55430236
UVV,18.88502714,8.12968556,7.345015,4.48685069
HBAN,,30.36792971,30.36792971,25.82829947
HEES,33.73359587,13.95349182,8.59270301,6.46790743
DHT,28.71747142,25.95352366,13.63565005,13.77021238
PFS,,34.63141518,34.00194643,26.03707462
SGU,27.12517146,4.56513812,3.55384624,1.86712506
SWP,33.59391228,13.50348285,7.8242927,6.61810527
CTT,17.85697551,-12.31573719,-12.59218997,-87.4537293
TFSL,,21.01264289,21.01264289,16.41210183
IFFT,37.23100634,14.91983399,10.8451535,8.80870818
E,10.71202217,10.71202217,8.38788888,0.26092139
ETH,54.26080125,6.18535654,4.74978951,3.6410125
CRWS,28.88270994,10.86811218,10.42028714,8.48193995
KMI,37.2112462,29.49088146,24.05015198,16.55015198
WELL,27.41821005,12.79303375,10.60050014,9.45821059
CFG,,29.21800026,29.19206329,23.22655946
CPAC,41.90614778,19.23691424,13.95577315,9.48490893
CXP,30.68962771,3.19107317,-14.17720029,-11.47429173
