Ticker,Basic EPS (FY),Basic EPS (TTM),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY)
WTRU,1.0417,1.0036,1.0014,519525999.99999994,101223000,422600000,889692000,1.0399,889692000,224543000
CATY,3.4892,3.4893,3.4786,,,,815271000,3.4784,815271000,279135000
PPBI,2.6196,2.6222,2.607,,,,561343000,2.6044,561343000,158068000
NOK,0.0014,-0.0017,-0.0022,3203950000,3014751617.68647,9391615250.16891,26116547520.8485,0.0014,26116547520.8485,7834740.40652864
STX,7.1348,6.2341,6.1633,1630000000,754000000,2909000000,10390000000,7.0596,10390000000,2012000000
GRP.U,6.0131097,5.97416618,5.9723154,159808752.6508579,49082706.76691729,182419895.8935801,210389820.70561016,6.0131097,210389820.70561016,294643531.90668976
ASB,1.928,1.9262,1.9092,,,,1554776000,1.9114,1554776000,324717000
MET,6.1018,6.0884,6.0472,,,,68771000000,6.0578,68771000000,5899000000
CZNC,1.4591,1.4638,1.4613,,,,84078000,1.4566,84078000,19504000
ARC,0.067,0.0671,0.0669,46672000,29583000,131328000,382415000,0.0669,382415000,3015000
GSK,2.3957,2.3865,2.3614,12509200000,7270651385.6324,27927202032.7238,43061293564.1387,2.3627,43061293564.1387,5925807566.67134
NL,0.5302,0.5302,0.5302,12137000,9000000,39542000,124243000,0.5302,124243000,25844000
NGG,2.9282,2.7681,2.7647,6557200000,,10670852390.758,19597569641.0269,2.9153,19597569641.0269,1982985851.97828
AVGO,6.7714,6.3789,6.0548,10024000000,2669000000,10662000000,22597000000,6.432,22597000000,2724000000
TAIT,0.2462,0.2736,0.2696,1452000,888000,3618000,8222000,0.2415,8222000,1378000
FRT,4.612,4.6039,4.6039,594276000,101025000,421284000,939127000,4.612,939127000,352859000
ELP,1.8434,1.6928,1.6928,1093890000,266682307.582629,1112579097.2764502,4117942391.9583898,1.8434,4117942391.9583898,504453630.313552
MFNC,1.2898,1.2898,1.289,,,,70306000,1.2875,70306000,13850000
SJR,1.06329019,1.02902315,1.02902315,1659326181.0653117,214568040.6549972,839855508.7296809,4018663455.749549,1.06329019,4018663455.749549,550120409.3919326
TU,2.23659148,2.23851938,2.23851938,4315403894.351263,425679583.5743204,2217081164.4495854,11250433776.749565,2.23659148,11250433776.749565,1346443030.6535568
BG,-9.3433,-9.337,-9.361,1180000000,670000000,2039000000,41143000000,-9.3433,41143000000,-1288000000
TRP,3.30048197,3.29986505,3.29631772,6180836707.152496,1170618854.829381,4841334104.491999,10040485829.959515,3.29338731,10040485829.959515,3192596876.807403
CIZN,1.1655,1.1573,1.1568,,,,45109000,1.165,45109000,5902000
YPF,-1.799,-1.7886,-1.7886,3852270000,192606148.106387,1588134067.46623,14056526595.0026,-1.799,14056526595.0026,-705752205.0977889
WSTG,1.5058,1.5053,1.5053,9425000,7751000,29967000,208759000,1.5058,208759000,6657000
OMAB,3.4281,3.4104,2.6084,273701000,68053924.55184579,280312107.560196,442900053.58505905,0.0042,442900053.58505905,167237224.788714
RESI,-1.96,-1.9593,-1.9593,23461000,-26824000,-19592000,170997000,-1.96,170997000,-105391000
LEG,2.4763,2.4756,2.4657,700000000,256500000,987900000,4755200000,2.4653,4755200000,333800000
CULP,0.4555,0.1781,0.178,19656000,12384000,52706000,296669000,0.4523,296669000,5676000
ODP,0.1816,0.1834,0.1824,603000000,571000000,2433000000,10647000000,0.179,10647000000,99000000
BUSE,1.8769,1.877,1.8722,,,,473408000,1.8674,473408000,102953000
ARES,1.1075,1.1056,1.0651,378706000,327914000,1230402000,1790128000,1.061,1790128000,141214000
TFC,3.761,3.7995,3.7531,,,,14550000000,3.7144,14550000000,3224000000
TD,4.76136493,4.99073759,4.98234471,,,,44990299387.52996,4.75330011,44990299387.52996,8877391866.702173
CBT,2.6406,2.2027,2.1933,492000000,142000000,694000000,3337000000,2.636,3337000000,155000000
EDUC,0.8155,0.681,0.6806,8645500,27544700,79747700,118811300,0.8148,118811300,6678400
